File Name,Max Value (MiB),Min Value (MiB),m-min
cudnn_FT_10.csv,1775,0,1775
cudnn_FT_11.csv,2057,0,2057
cudnn_FT_12.csv,3117,0,3117
cudnn_FT_3.csv,2353,0,2353
cudnn_FT_4.csv,3899,0,3899
cudnn_FT_5.csv,1869,0,1869
cudnn_FT_6.csv,2473,0,2473
cudnn_FT_7.csv,4663,0,4663
cudnn_FT_8.csv,3579,0,3579
cudnn_FT_9.csv,1869,0,1869
cudnn_F_10.csv,1845,0,1845
cudnn_F_11.csv,1733,0,1733
cudnn_F_12.csv,2215,0,2215
cudnn_F_6.csv,1887,0,1887
cudnn_F_7.csv,8721,0,8721
cudnn_F_8.csv,5423,0,5423
cudnn_F_9.csv,2113,0,2113
cudnn_G_1.csv,2331,0,2331
cudnn_G_10.csv,1953,0,1953
cudnn_G_11.csv,1675,0,1675
cudnn_G_12.csv,1543,0,1543
cudnn_G_2.csv,2365,0,2365
cudnn_G_3.csv,3167,0,3167
cudnn_G_4.csv,21939,0,21939
cudnn_G_5.csv,2049,0,2049
cudnn_G_6.csv,1635,0,1635
cudnn_G_7.csv,5241,0,5241
cudnn_G_8.csv,6745,0,6745
cudnn_G_9.csv,2537,0,2537
cudnn_IG_1.csv,1793,0,1793
cudnn_IG_10.csv,1571,0,1571
cudnn_IG_11.csv,1513,0,1513
cudnn_IG_12.csv,1485,0,1485
cudnn_IG_2.csv,1809,0,1809
cudnn_IG_3.csv,2281,0,2281
cudnn_IG_4.csv,3745,0,3745
cudnn_IG_5.csv,1579,0,1579
cudnn_IG_6.csv,1521,0,1521
cudnn_IG_7.csv,4591,0,4591
cudnn_IG_8.csv,3341,0,3341
cudnn_IG_9.csv,1715,0,1715
cudnn_IPG_1.csv,1793,0,1793
cudnn_IPG_10.csv,1621,0,1621
cudnn_IPG_11.csv,1541,0,1541
cudnn_IPG_12.csv,1513,0,1513
cudnn_IPG_2.csv,1809,0,1809
cudnn_IPG_3.csv,2281,0,2281
cudnn_IPG_4.csv,5687,0,5687
cudnn_IPG_5.csv,1609,0,1609
cudnn_IPG_6.csv,1545,0,1545
cudnn_IPG_7.csv,4591,0,4591
cudnn_IPG_8.csv,3735,0,3735
cudnn_IPG_9.csv,1815,0,1815
cudnn_WN_10.csv,1795,0,1795
cudnn_WN_11.csv,1603,0,1603
cudnn_WN_12.csv,1593,0,1593
cudnn_WN_5.csv,1857,0,1857
cudnn_WN_6.csv,1661,0,1661
cudnn_WN_7.csv,8285,0,8285
cudnn_WN_8.csv,5989,0,5989
cudnn_WN_9.csv,2157,0,2157
cudnn_W_10.csv,1571,0,1571
cudnn_W_11.csv,1513,0,1513
cudnn_W_12.csv,1511,0,1511
cudnn_W_6.csv,1521,0,1521
cudnn_W_7.csv,4591,0,4591
cudnn_W_8.csv,3341,0,3341
cudnn_W_9.csv,1715,0,1715
